Chicken	Duck
ADSL	ADSL
CLDN14	CLDN14
SIM2	SIM2
ZFPM2	ZFPM2
C23H1ORF109	AIRIM
HLCS	HLCS
SETD9	SETD9
ANKRD10	ANKRD10
RFESD	RFESD
PIGP	PIGP
TARS	TARS1
ARSK	ARSK
RNF114	RNF114
PCBD2	PCBD2
POU3F3	POU3F3
RASSF3	RASSF3
SPATA2	SPATA2
TTC37	SKIC3
TXNDC15	TXNDC15
TMEM185A	TMEM185A
FAM81B	FAM81B
TEDC1	TEDC1
TNRC6B	TNRC6B
GNS	GNS
TBXAS1	TBXAS1
ABCC9	ABCC9
CRIP1	CRIP1
AIM1	CRYBG1
IDS	IDS
FAM83F	FAM83F
NUDC	NUDC
DSCR3	VPS26C
SLC9A8	SLC9A8
KCNJ8	KCNJ8
ADAMTS12	ADAMTS12
HIPK2	HIPK2
OXR1	OXR1
TBC1D30	TBC1D30
DYRK1A	DYRK1A
NR0B2	NR0B2
CLTA	CLTA
LDHB	LDHB
DDX46	DDX46
KDF1	KDF1
SLC45A2	SLC45A2
ABRA	ABRA
B4GALT5	B4GALT5
GRAP2	GRAP2
MRPS9	MRPS9
CAMLG	CAMLG
RALYL	RALYL
GYS2	GYS2
AMACR	AMACR
AFF2	AFF2
C1QTNF3	C1QTNF3
KIAA1549	KIAA1549
SH2D1A	SH2D1A
RAI14	RAI14
SF3A3	SF3A3
CSTF1	CSTF1
ATP6V0A4	ATP6V0A4
GNE	GNE
DUSP6	DUSP6
CITED4	CITED4
RTFDC1	RTF2
FHL2	FHL2
LRRCC1	LRRCC1
MON2	MON2
RAD1	RAD1
SULT4A1	SULT4A1
TRIM24	TRIM24
LNPEP	LNPEP
ATG5	ATG5
AURKB	AURKA
E2F5	E2F5
MTA1	MTA1
PPM1H	PPM1H
SAR1B	SAR1B
BRIX1	BRIX1
C8orf59	RBIS
PTPRB	PTPRB
JADE2	JADE2
ATP11A	ATP11A
DNAJC21	DNAJC21
PACS2	PACS2
PTPRR	PTPRR
INPP5B	INPP5B
GULP1	GULP1
STAG2	STAG2
MTF1	MTF1
MAPRE1	MAPRE1
POC1B	POC1B
YRDC	YRDC
SAMM50	SAMM50
FRS2	FRS2
BIRC8	XIAP
SEC22B	SEC22B
PAWR	PAWR
MANEAL	MANEAL
ATP2B1	ATP2B1
RNF14	RNF14
TM9SF4	TM9SF4
AKR1D1	AKR1D1
PRDM1	PRDM1
TUBGCP3	TUBGCP3
AGXT2	AGXT2
PLAGL2	PLAGL2
GNPDA1	GNPDA1
TFPI	TFPI
THOC2	THOC2
ARSB	ARSB
POFUT1	POFUT1
NMU	NMU
MYO16	MYO16
RSPO1	RSPO1
GAK	GAK
KIT	KIT
UBXN11	UBXN11
KDM7A	KDM7A
PREP	PREP
KERA	KERA
CALCRL	CALCRL
PDCL2	PDCL2
IRS2	IRS2
NOTCH2	NOTCH2
PARVG	PARVG
CA2	CA2
FGF20	FGF20
SLF1	SLF1
KIF3B	KIF3B
LUM	LUM
PPP1R12A	PPP1R12A
SH3BGRL3	SH3BGRL3
MTNR1A	MTNR1A
RAB19	RAB19
ATP6V0D2	ATP6V0D2
LIN28B	LIN28B
DCN	DCN
HMGCS2	HMGCS2
EDAR	EDAR
ASXL1	ASXL1
NDFIP1	NDFIP1
WWP1	WWP1
FAM171B	FAM171B
AMER1	AMER1
RICTOR	RICTOR
RPS16	RPS16
PRR5	PRR5
HS3ST5	HS3ST5
OTOGL	OTOGL
CEP85	CEP85
NOL4L	NOL4L
MTMR8	MTMR8
FAT1	FAT1
SPRY4	SPRY4
RMDN1	RMDN1
ARHGAP8	ARHGAP8
SH3RF3	SH3RF3
PHGDH	PHGDH
DENND2A	DENND2A
ASB12	ASB12
SEPTIN14	SEPTIN10
PGRMC1	PGRMC1
ITGAV	ITGAV
NDST1	NDST1
NAP1L1	NAP1L1
SLC16A2	SLC16A2
HDAC2	HDAC2
ADCK2	ADCK2
DNMT3B	DNMT3B
FYB1	FYB1
MATN1	MATN1
CHAMP1	CHAMP1
FGF1	FGF1
CPNE3	CPNE3
RPS14	RPS14
ZC3H15	ZC3H15
RLIM	RLIM
DAB2	DAB2
KIAA0825	KIAA0825
COMMD7	COMMD7
WRB	GET1
LAPTM5	LAPTM5
NDUFB2	NDUFB2
HCN1	HCN1
ZNF804A	ZNF804A
KIAA2022	NEXMIF
BPGM	BPGM
TMEM175	TMEM175
CORIN	CORIN
SDC3	SDC3
NPAS2	NPAS2
RPL37	RPL37
EEA1	EEA1
OSBPL8	OSBPL8
PRKAB2	PRKAB2
LSS	LSS
PUM1	PUM1
PDE6B	PDE6B
ATP10D	ATP10D
S100B	S100B
EXTL1	EXTL1
ABCB7	ABCB7
CALD1	CALD1
BRAF	BRAF
DEPDC1B	DEPDC1B
ZDHHC17	ZDHHC17
RFC1	RFC1
TBC1D8	TBC1D8
ASB1	ASB1
FAM172A	ARB2A
KDR	KDR
PAFAH2	PAFAH2
RNF149	RNF149
MRPS33	MRPS33
FAM78B	FAM78B
LMBRD2	LMBRD2
STMN1	STMN1
TMEM178B	TMEM178B
ZDHHC15	ZDHHC15
RFX8	RFX8
ADARB1	ADARB1
PRDX6	PRDX6
WDR19	WDR19
SKP2	SKP2
LMO3	LMO3
E2F7	E2F7
NSFL1C	NSFL1C
GJA9	GJA9
IDUA	IDUA
KLHL5	KLHL5
FGF16	FGF16
TADA1	TADA1
RASL11B	RASL11B
SNAPC3	SNAPC3
AGK	AGK
RERGL	RERGL
DENND11	DENND11
RANBP3L	RANBP3L
MAP4K4	MAP4K4
FASLG	FASLG
SLC26A1	SLC26A1
WEE2	WEE2
SDCBP2	SDCBP2
PAQR7	PAQR7
FYN	FYN
PIGC	PIGC
TWIST2	TWIST2
ATRX	ATRX
PIK3C2G	PIK3C2G
PDGFRA	PDGFRA
MYCBP	MYCBP
SLC1A3	SLC1A3
BCL6	BCL6
PLCZ1	PLCZ1
COMMD8	COMMD8
RRAGC	RRAGC
CLDN1	CLDN1
NAV3	NAV3
SLC6A7	SLC6A7
MAGT1	MAGT1
GABRA4	GABRA4
RAD21L1	RAD21L1
OPA1	OPA1
SOWAHA	SOWAHA
NPR3	NPR3
CHRNA6	CHRNA6
GDF9	GDF9
GABRG1	GABRG1
ATP7A	ATP7A
CREB3L2	CREB3L2
CETN3	CETN3
HDAC4	HDAC4
TFAP2E	TFAP2E
LEAP2	LEAP2
PSMF1	PSMF1
NCDN	NCDN
SLC16A10	SLC16A10
FNTA	FNTA
AFF4	AFF4
GNPDA2	GNPDA2
NELL2	NELL2
FUT10	FUT10
PLEKHA5	PLEKHA5
ANGPT4	ANGPT4
FAM3B	FAM3B
RPF2	RPF2
DNM3	DNM3
FAM110A	FAM110A
PELO	PELO
KIAA0319L	KIAA0319L
DBX2	DBX2
CPLANE1	CPLANE1
SLC52A3	SLC52A3
NDUFA10	NDUFA10
ANO6	ANO6
ATP13A5	ATP13A5
ZCCHC10	ZCCHC10
AEBP2	AEBP2
GTF3C6	GTF3C6
PYROXD1	PYROXD1
HSPA4	HSPA4
HRASLS	PLAAT1
AMD1	AMD1
MASP1	MASP1
GUF1	GUF1
PTN	PTN
TCERG1	TCERG1
TMPRSS2	TMPRSS2
CDK19	CDK19
YIPF7	YIPF7
IL18RAP	IL18RAP
MYOC	MYOC
RECQL	RECQL
ARID2	ARID2
GRXCR1	GRXCR1
SLC9A4	SLC9A4
AMOT	AMOT
EMB	EMB
WNT5B	WNT5B
NFXL1	NFXL1
ADIPOR2	ADIPOR2
NRG1	NRG1
TRPC5	TRPC5
PPP2R2B	PPP2R2B
CCNO	CCNO
DDO	DDO
STAT1	STAT1
DLGAP3	DLGAP3
UPF3A	UPF3A
METTL24	METTL24
SCAF11	SCAF11
PRRC2C	PRRC2C
DHX29	DHX29
LPL	LPL
TUSC3	TUSC3
STK32A	STK32A
SPX	SPX
SLC38A1	SLC38A1
SLC2A2	SLC2A2
MLLT3	MLLT3
CDC40	CDC40
SLC38A2	SLC38A2
RLF	RLF
STAT4	STAT4
CDC16	CDC16
ZDHHC18	ZDHHC18
EIF5A2	EIF5A2
SFN	SFN
PARP8	PARP8
DPYSL3	DPYSL3
PDXP	PDXP
SH3BP1	SH3BP1
WASF1	WASF1
RPL22L1	RPL22L1
SLC38A4	SLC38A4
PSIP1	PSIP1
SKIV2L2	MTREX
SGCZ	SGCZ
HM13	HM13
GGA1	GGA1
BCL2L1	BCL2L1
SLITRK2	SLITRK2
MYO1B	MYO1B
HNRNPR	HNRNPR
FIG4	FIG4
CHIC2	CHIC2
TYRP1	TYRP1
PLD1	PLD1
JAKMIP2	JAKMIP2
TPX2	TPX2
TRIM2	TRIM2
ALDH1A1	ALDH1A1
AMIGO2	AMIGO2
GORAB	GORAB
ANXA1	ANXA1
GSX2	GSX2
SOX5	SOX5
ABCA1	ABCA1
PLPP1	PLPP1
CDC23	CDC23
RPAP3	RPAP3
ZBTB24	ZBTB24
PPIL6	PPIL6
NFATC2	NFATC2
METTL11B	NTMT2
KCNG1	KCNG1
ATP23	ATP23
FOCAD	FOCAD
DNAI7	DNAI7
GFRA3	GFRA3
COL18A1	COL18A1
LUZP1	LUZP1
FGF12	FGF12
SLC38A9	SLC38A9
CEMIP2	CEMIP2
DLC1	DLC1
MND1	MND1
ABHD17B	ABHD17B
LRTM2	LRTM2
SLC44A1	SLC44A1
DDX4	DDX4
HACD4	HACD4
KDM1A	KDM1A
CARD10	CARD10
LRIG3	LRIG3
KDM3B	KDM3B
LNX1	LNX1
DCP1B	DCP1B
TMEM38B	TMEM38B
KIFAP3	KIFAP3
DPM1	DPM1
CCDC50	CCDC50
ETFRF1	ETFRF1
REEP2	REEP2
RASA3	RASA3
SCYL3	SCYL3
TBX22	TBX22
NMUR2	NMUR2
ZMPSTE24	ZMPSTE24
SLC16A7	SLC16A7
GLRA1	GLRA1
LRRC10	LRRC10
WDR44	WDR44
PHLDA1	PHLDA1
PIGV	PIGV
SESN1	SESN1
KRAS	KRAS
ADNP	ADNP
ZNF131	ZNF131
ZNF462	ZNF462
SCFD2	SCFD2
PARD6B	PARD6B
FIRRM	FIRRM
G3BP1	G3BP1
TMEM131L	TMEM131L
ARMC2	ARMC2
NIM1K	NIM1K
TMPO	TMPO
CACNA1C	CACNA1C
METTL18	METTL18
ARID1A	ARID1A
FOXO3	FOXO3
GABRA2	GABRA2
KIAA1191	KIAA1191
RAD23B	RAD23B
KLF4	KLF4
GMNC	GMNC
IER5	IER5
HMGCS1	HMGCS1
BHLHE41	BHLHE41
LSG1	LSG1
AFG1L	AFG1L
KIAA0040	KIAA0040
CTXN3	CTXN3
PTGER4	PTGER4
RAB20	RAB20
SSPN	SSPN
NAXD	NAXD
OPHN1	OPHN1
TTC33	TTC33
CCDC171	CCDC171
CARS2	CARS2
ING1	ING1
PRKAA1	PRKAA1
GAS6	GAS6
FAM65C	RIPOR3
YIPF6	YIPF6
ATP13A3	ATP13A3
TMEM255B	TMEM255B
RAC2	RAC2
SHISA3	SHISA3
ATP4B	ATP4B
SIMC1	SIMC1
TMCO3	TMCO3
RPS6KA1	RPS6KA1
PTPN1	PTPN1
ITPR2	ITPR2
THOC3	THOC3
OSTM1	OSTM1
CPLX2	CPLX2
SEC63	SEC63
CYTH4	CYTH4
ETNK1	ETNK1
DCUN1D2	DCUN1D2
FAT2	FAT2
GKAP1	GKAP1
PAIP1	PAIP1
FTCD	FTCD
DHDDS	DHDDS
SCML4	SCML4
VGLL1	VGLL1
UTP11	UTP11
IL1RAP	IL1RAP
CEBPB	CEBPB
NNT	NNT
QNG1	QNG1
TMEM207	TMEM207
SSTR3	SSTR3
FRK	FRK
GHR	GHR
GRTP1	GRTP1
C2CD5	C2CD5
NWD2	NWD2
CCDC152	CCDC152
DOCK11	DOCK11
CLDN16	CLDN16
C1QTNF6	C1QTNF6
LAMP1	LAMP1
FHL3	FHL3
SELENOP1	SELENOP
ISL1	ISL1
HNRNPK	HNRNPK
DTHD1	DTHD1
IL13RA1	IL13RA1
CUL4A	CUL4A
CSF3R	CSF3R
PCID2	PCID2
ARAP2	ARAP2
KPNA5	KPNA5
NPEPL1	NPEPL1
ST8SIA1	ST8SIA1
TMEM35A	TMEM35A
ELOVL7	ELOVL7
PWP2	PWP2
INTS13	INTS13
ZUFSP	ZUP1
STX16	STX16
KIF2A	KIF2A
RMI1	RMI1
TRMT2B	TRMT2B
TRMT9B	TRMT9B
PROZ	PROZ
IL2RB	IL2RB
FGFR1OP2	FGFR1OP2
LONRF1	LONRF1
DIMT1	DIMT1
FXN	FXN
STK40	STK40
LRRC15	LRRC15
APCDD1L	APCDD1L
TMPRSS6	TMPRSS6
EVA1B	EVA1B
F7	F7
TLR2A	LOC110351185
THRAP3	THRAP3
PRLR	PRLR
MPST	MPST
SPEF2	SPEF2
MAP7D1	MAP7D1
FAM189A2	ENTREP1
RWDD1	RWDD1
SASH3	SASH3
TST	TST
C3AR1	C3AR1
ANXA6	ANXA6
VAPB	VAPB
APBA1	APBA1
TM7SF3	TM7SF3
PAICS	PAICS
FAM26D	CALHM4
TRAPPC3	TRAPPC3
TP63	TP63
PCNT	PCNT
GOLPH3	GOLPH3
TMCO1	TMCO1
PPAT	PPAT
MTMR12	MTMR12
PVALB	PVALB
SLC9A6	SLC9A6
RAB22A	RAB22A
COL8A2	COL8A2
UBLCP1	UBLCP1
AASDH	AASDH
MCF2L	MCF2L
CAPZA3	CAPZA3
TEKT2	TEKT2
IFT27	IFT27
FBXL14	FBXL14
CACNG2	CACNG2
PTAR1	PTAR1
EIF3D	EIF3D
PLRG1	PLRG1
MAN1A1	MAN1A1
SUCO	SUCO
FHL1	FHL1
RNF145	RNF145
MAMDC2	MAMDC2
PCYT1A	PCYT1A
PMEPA1	PMEPA1
FGB	FGB
PCK1	PCK1
AGO3	AGO3
FGG	FGG
KMO	KMO
ABHD13	ABHD13
SLC51A	SLC51A
LIG4	LIG4
ITGB2	ITGB2
LPP	LPP
ARL15	ARL15
LRAT	LRAT
RAE1	RAE1
NALF1	NALF1
ADAM19	ADAM19
HSPB3	HSPB3
AGO4	AGO4
SNX18	SNX18
ARGLU1	ARGLU1
NIPAL4	NIPAL4
RBM46	RBM46
CRACD	CRACD
SPO11	SPO11
CLSPN	CLSPN
MCM9	MCM9
TFRC	TFRC
MYH9	MYH9
BMP7	BMP7
SLC35F1	SLC35F1
CYFIP2	CYFIP2
PCSK5	PCSK5
FAM114A1	FAM114A1
ZC4H2	ZC4H2
TFAP2C	TFAP2C
EFNB2	EFNB2
COQ10B	COQ10B
ZC3H12B	ZC3H12B
NPY2R	NPY2R
HIVEP3	HIVEP3
RUFY1	RUFY1
ESM1	ESM1
EDN2	EDN2
SNAI1	SNAI1
ITK	ITK
CEP135	CEP135
FOXO6	FOXO6
PSMD2	PSMD2
MSN	MSN
RBFOX2	RBFOX2
CAP1	CAP1
CNGA2	CNGA2
MB	MB
FAAH2	FAAH2
ADAMTS2	ADAMTS2
CDC20B	CDC20B
RASD2	RASD2
GPX8	GPX8
CEP85L	CEP85L
UXS1	UXS1
MCM5	MCM5
PRRG3	PRRG3
DOK5	DOK5
GCNT1	GCNT1
RFTN2	RFTN2
PLN	PLN
AMN	AMN
ASCC3	ASCC3
PFDN4	PFDN4
HNRNPAB	HNRNPAB
EXOC1	EXOC1
FOXB2	FOXB2
GPBP1	GPBP1
BOLL	BOLL
CYP24A1	CYP24A1
HMOX1	HMOX1
CNOT6	CNOT6
CDC42BPB	CDC42BPB
SIM1	SIM1
GFPT2	GFPT2
SLCO1C1	SLCO1C1
PLK2	PLK2
KLF3	KLF3
YTHDF2	YTHDF2
RAB3C	RAB3C
GPR6	GPR6
EXOC1L	EXOC1L
NHSL2	NHSL2
PPP4R3A	PPP4R3A
ST6GAL2	ST6GAL2
MAPK9	MAPK9
TC2N	TC2N
VPS13A	VPS13A
PHYKPL	PHYKPL
SLC5A7	SLC5A7
FBLN5	FBLN5
TOM1	TOM1
TMLHE	TMLHE
PDE4D	PDE4D
NME5	NME5
TBC1D1	TBC1D1
GCC2	GCC2
HMGXB4	HMGXB4
PLCL1	PLCL1
FYTTD1	FYTTD1
TRIP11	TRIP11
RORB	RORB
ISX	ISX
RASGEF1C	RASGEF1C
WNT8A	WNT8A
ALG13	ALG13
ZFP64	ZFP64
RPL35A	RPL35A
BCAT1	BCAT1
PGM2	PGM2
GMEB1	GMEB1
SALL4	SALL4
TRPM6	TRPM6
LARGE1	LARGE1
MED7	MED7
CPSF2	CPSF2
RELL1	RELL1
CLOCK	CLOCK
TAF12	TAF12
SLC24A4	SLC24A4
PSMD1	PSMD1
SYN3	SYN3
DCX	DCX
SRD5A3	SRD5A3
TIMP3	TIMP3
FAM13B	FAM13B
HTR2B	HTR2B
CARNMT1	CARNMT1
CAPN6	CAPN6
SLC30A9	SLC30A9
PAK3	PAK3
HDX	HDX
TMEM33	TMEM33
LGMN	LGMN
PHOX2B	PHOX2B
ARMC9	ARMC9
FBXO7	FBXO7
GOLGA5	GOLGA5
SGCD	SGCD
BCAS1	BCAS1
MTFR1L	MTFR1L
RPS6KA6	RPS6KA6
OSTF1	OSTF1
CHRDL1	CHRDL1
MID2	MID2
CHGA	CHGA
AMMECR1	AMMECR1
UBE3A	UBE3A
MRPL22	MRPL22
NXT2	NXT2
PSAT1	PSAT1
ACSL4	ACSL4
RASEF	RASEF
RTCB	RTCB
VWA3B	VWA3B
ASCL4	ASCL4
PNRC2	PNRC2
IRS4	IRS4
MPP1	MPP1
B3GNT7	B3GNT7
PKD2L2	PKD2L2
LIMCH1	LIMCH1
GEMIN5	GEMIN5
PRDM4	PRDM4
TTLL9	TTLL9
BDKRB1	BDKRB1
FRMD3	FRMD3
UCHL1	UCHL1
TMEM131	TMEM131
PWP1	PWP1
ATG2B	ATG2B
NADK2	NADK2
SRSF10	SRSF10
PDRG1	PDRG1
ITGA1	ITGA1
UBQLN1	UBQLN1
BTBD11	ABTB3
APBB2	APBB2
MACO1	MACO1
PDZD2	PDZD2
NMUR1	NMUR1
KLHL3	KLHL3
AK7	AK7
NSUN7	NSUN7
ZNF217	ZNF217
INPP4A	INPP4A
TGM2	TGM2
GRHL3	GRHL3
PDE6D	PDE6D
CNOT8	CNOT8
ASAH1	ASAH1
FAXDC2	FAXDC2
UNC50	UNC50
GK5	GK5
HNRNPA0	HNRNPA0
MGAT4A	MGAT4A
XRN1	XRN1
PHF6	PHF6
COL4A6	COL4A6
TSHZ2	TSHZ2
CRACDL	CRACDL
HPRT1	HPRT1
PAPOLB	PAPOLA
MYOM3	MYOM3
RPRD1B	RPRD1B
PCM1	PCM1
PCDH19	PCDH19
EIF5	EIF5
TTI1	TTI1
TLE1	TLE1
TMEM50A	TMEM50A
PLS1	PLS1
SPOCK1	SPOCK1
FGL1A	FGL1
TRPC1	TRPC1
MARK3	MARK3
RSRP1	RSRP1
PSMD10	PSMD10
LARP1	LARP1
PIP5K1B	PIP5K1B
IL22RA1	IL22RA1
TRPC7	TRPC7
CKB	CKB
PCOLCE2	PCOLCE2
LIPT1	LIPT1
CTNNBL1	CTNNBL1
PAQR9	PAQR9
MITD1	MITD1
SLC28A3	SLC28A3
RUNX3	RUNX3
SMAD5	SMAD5
RAB39B	RAB39B
HAND1	HAND1
GDA	GDA
U2SURP	U2SURP
MTUS1	MTUS1
SAP30L	SAP30L
UBE2B	UBE2B
ZFAND5	ZFAND5
NIPAL3	NIPAL3
TXNDC9	TXNDC9
CHST2	CHST2
PPP2CA	PPP2CA
PDGFRL	PDGFRL
VRK1	VRK1
ARHGEF6	ARHGEF6
SLC7A2	SLC7A2
EIF5B	EIF5B
CLIC4	CLIC4
SKP1	SKP1
REV1	REV1
TRMT61A	TRMT61A
GAB3	GAB3
SLC9A9	SLC9A9
SH3BP5	SH3BP5
TCF7	TCF7
CEP78	CEP78
LONRF2	LONRF2
MTMR7	MTMR7
ANPEP	ANPEP
BAG5	BAG5
CHRD	CHRD
CHST10	CHST10
SRRM1	SRRM1
BICD1	BICD1
SNX21	SNX21
RCAN3	RCAN3
GLA	GLA
CAPN7	CAPN7
RBM47	RBM47
EPHX1	EPHX1
TLE4	TLE4
TRNAU1AP	TRNAU1AP
CHRNA9	CHRNA9
DIPK2A	DIPK2A
FSTL4	FSTL4
VPS37A	VPS37A
EXOSC7	EXOSC7
CNOT7	CNOT7
PDCL3	PDCL3
TIMM8A	TIMM8A
ENAH	ENAH
ATP10A	ATP10A
SOX1	SOX1
XRCC3	XRCC3
PLTP	PLTP
ADD1	ADD1
ZDHHC3	ZDHHC3
ZDHHC2	ZDHHC2
RAPGEF6	RAPGEF6
EPHB3	EPHB3
PCIF1	PCIF1
COPS2	COPS2
TGM4	TGM4
RPSA2	RPSA
SRP9	SRP9
ZFYVE21	ZFYVE21
DRP2	DRP2
AHSG	AHSG
GALK2	GALK2
SAXO1	SAXO1
RAB3GAP2	RAB3GAP2
CDH22	CDH22
TDRD9	TDRD9
IARS2	IARS2
FGF7	FGF7
FNIP1	FNIP1
BPNT1	BPNT1
MLH1	MLH1
EPB41	EPB41
DTWD1	DTWD1
RD3L	RD3L
EPRS	EPRS1
FETUB	FETUB
SLC35C2	SLC35C2
SPATA5L1	AFG2B
CENPI	CENPI
SMYD1	SMYD1
STARD3NL	STARD3NL
LURAP1L	LURAP1L
RRP15	RRP15
FABP1	FABP1
POLG	POLG
ASPG	ASPG
PLIN2	PLIN2
RHOH	RHOH
FANCI	FANCI
ELMO2	ELMO2
THNSL2	THNSL2
TCAIM	TCAIM
SNRPN	SNRPB
RLBP1	RLBP1
MICU3	MICU3
CD40LG	CD40LG
KNG1	KNG1
ADAMTS7	ADAMTS7
TACC3	TACC3
SPATA17	SPATA17
N4BP2	N4BP2
TMEM200B	TMEM200B
MOSPD1	MOSPD1
P4HA2	P4HA2
DDX27	DDX27
GPATCH2	GPATCH2
EIF4A2	EIF4A2
TOPAZ1	TOPAZ1
PDS5A	PDS5A
FAM96A	CIAO2A
MPDZ	MPDZ
CTNNB1	CTNNB1
SPG11	SPG11
F12	HGFAC
PDLIM4	PDLIM4
RFC4	RFC4
ZNF831	ZNF831
ACTR2	ACTR2
PRELID3B	PRELID3B
ULK4	ULK4
BCL11B	BCL11B
IRF1	IRF1
PHKA1	PHKA1
SRSF4	SRSF4
EIF3J	EIF3J
DENND4C	DENND4C
RAD50	RAD50
HDAC8	HDAC8
MECR	MECR
ACER2	ACER2
CTDSPL2	CTDSPL2
TUBB1	TUBB1
USH2A	USH2A
ABHD4	ABHD5
SLC24A2	SLC24A2
PTPRU	PTPRU
SETD3	SETD3
SLX4	SLX4
SMIM14	SMIM14
TRAP1	TRAP1
ANO10	ANO10
CASC4	GOLM2
MCF2L2	MCF2L2
NELFCD	NELFCD
KIF3A	KIF3A
CCNK	CCNK
MSANTD1	MSANTD1
DNAAF6	DNAAF6
FRMD5	FRMD5
FRMPD3	FRMPD3
WDR76	WDR76
UGDH	UGDH
GNAS	GNAS
HTT	HTT
CCDC85C	CCDC85C
BLM	BLM
LIAS	LIAS
SEPTIN6	SEPTIN6
SEPTIN8	SEPTIN8
GRK4	GRK4
ESRRG	ESRRG
PDILT	PDILT
RPL9	RPL9
GMEB2	GMEB2
TRAK1	TRAK1
CTSH	CTSH
KLB	KLB
RASGRF1	RASGRF1
CYP46A1	CYP46A1
NOP14	NOP14
NFIB	NFIB
SHKBP1	KCTD3
TRMT44	TRMT44
TRIM63	TRIM63
HELZ2	HELZ2
B3GNT5	B3GNT5
TMED3	TMED3
GPR139	GPR139
SLC30A2	SLC30A2
FNDC11	FNDC11
ZDHHC21	ZDHHC21
CER1	CER1
FMR1	FMR1
USP46	USP46
GLCE	GLCE
MYCL	MYCL
ANKS3	ANKS3
RBM27	RBM27
SMOX	SMOX
ZC3H12A	ZC3H12A
LBR	LBR
HPCAL4	HPCAL4
FREM1	FREM1
PANK2	PANK2
STK35	STK35
TMEM164	TMEM164
TTC39B	TTC39B
TNIP1	TNIP1
POMGNT2	POMGNT2
TFDP3	TFDP1
RAB9B	RAB9B
MAPK8IP3	MAPK8IP3
MCCC1	MCCC1
GPX3	GPX3
MC3R	MC3R
EML1	EML1
WDR26	WDR26
CCK	CCK
DNAJC8	DNAJC8
PLP1	PLP1
KIF23	KIF23
YIPF5	YIPF5
SNRK	SNRK
KCTD16	KCTD16
SPATA18	SPATA18
CREBBP	CREBBP
FAM198A	GASK1A
TMEM42	TMEM42
MEX3B	MEX3B
CHMP1B	CHMP1B
EIF1B	EIF1B
MRPS34	MRPS34
DCUN1D1	DCUN1D1
CNIH4	CNIH4
TRIT1	TRIT1
BNC2	BNC2
UBE2J2	UBE2J2
ENOX2	ENOX2
ADCY9	ADCY9
FAM132A	C1QTNF12
SGCB	SGCB
EVL	EVL
SLC25A14	SLC25A14
ROGDI	ROGDI
DCUN1D4	DCUN1D4
DEGS2	DEGS2
SPEN	SPEN
NVL	NVL
CNTLN	CNTLN
YY2	YY1
RAB33A	RAB33A
DEGS1	DEGS1
CWH43	CWH43
ZBTB17	ZBTB17
GRIK3	GRIK3
H2AFYMACROH2A1	MACROH2A1
VPS41	VPS41
EHBP1	EHBP1
ATP11B	ATP11B
FBXO28	FBXO28
HOMER2	HOMER2
TMEM129	TMEM129
OTX1	OTX1
FRYL	FRYL
AIFM1	AIFM1
GNL2	GNL2
TP53BP2	TP53BP2
WDPCP	WDPCP
VASN	VASN
DNALI1	DNALI1
GRIA1	GRIA1
DNAJC19	DNAJC19
SLBP	SLBP
TRPM3	TRPM3
SLC25A47	SLC25A47
GRXCR2	GRXCR2
MDH1	MDH1
LARS	LARS1
FAM53A	FAM53A
POU6F2	POU6F2
BTBD1	BTBD1
NMRAL1	NMRAL1
ADRA2C	ADRA2C
FXR1	FXR1
TRANK1	TRANK1
CAPN8	CAPN8
SLC25A29	SLC25A29
UBE4B	UBE4B
WARS	WARS1
CASS4	CASS4
DCTN4	DCTN4
LRPAP1	LRPAP1
SLC10A4	SLC10A4
SKIL	SKIL
NLRC3	NLRC3
SUSD4	SUSD4
GPR141	GPR141
RBM22	RBM22
PRKCI	PRKCI
DOK7	DOK7
MYOZ3	MYOZ3
CLUAP1	CLUAP1
WDR25	WDR25
CSTF2	CSTF2
RTN4	RTN4
KIF1B	KIF1B
LIN28A	LIN28A
C7orf26	INTS15
BMP15	BMP15
PGD	PGD
C4orf48	NICOL1
ARHGAP26	ARHGAP26
PHC3	PHC3
CENPS	CENPS
NAA60	NAA60
NELFA	NELFA
AIM1L	CRYBG2
BEGAIN	BEGAIN
HDGFRP3	HDGFL3
SYTL4	SYTL4
DFFA	DFFA
SRPX2	SRPX2
NR3C1	NR3C1
DLK1	DLK1
GPR160	GPR160
AOAH	AOAH
SLAIN2	SLAIN2
GALNT10	GALNT10
BNC1	BNC1
TSPAN6	TSPAN6
PEX14	PEX14
CDIP1	CDIP1
CLBA1	CLBA1
PDGFRB	PDGFRB
DISP1	DISP1
PPP2R5C	PPP2R5C
ANLN	ANLN
DISP3	DISP3
LRRTM1	LRRTM1
HMOX2	HMOX2
SLC9A1	SLC9A1
BROX	BROX
SEC62	SEC62
WDTC1	WDTC1
RPL14	RPL14
TMEM222	TMEM222
CSF1R	CSF1R
ENTPD3	ENTPD3
SH3GL3	SH3GL3
LRRC31	LRRC31
GGCT	GGCT
EIF2AK3	EIF2AK3
SAMD7	SAMD7
LACTBL1	LACTBL1
AIDA	AIDA
DYNC1H1	DYNC1H1
CCDC88A	CCDC88A
HEPH	HEPH
LRRC34	LRRC34
EPHB2	EPHB2
WASF2	WASF2
TEC	TEC
AHDC1	AHDC1
TAF1A	TAF1A
NOD1	NOD1
RPIA	RPIA
VSX1	VSX1
MYNN	MYNN
ZNRF2	ZNRF2
FLT4	FLT4
NIPAL1	NIPAL1
